timestamp,author,message
00:01:23,viewer001,안녕하세요! 오늘 방송 기다렸어요
00:01:45,viewer002,드디어 시작했네요
00:02:10,viewer003,오늘 주제가 뭔가요?
00:02:33,viewer004,좋아요 좋아요 👍
00:03:01,viewer005,미국 금리 얘기인가요?
00:03:22,viewer001,진짜 인사이트 있는 분석 감사합니다
00:04:15,viewer006,와 이건 몰랐던 내용이네요
00:04:38,viewer007,대박!! 완전 유익해요
00:04:52,viewer008,클립 부탁드려요!!
00:05:01,viewer009,클립 클립 클립!!!
00:05:03,viewer010,클립 올려주세요 꼭이요
00:05:07,viewer003,클립으로 다시 보고 싶어요
00:05:09,viewer011,오 이 부분 진짜 중요하다
00:05:12,viewer012,대박이다 진짜
00:05:15,viewer004,와 이거 완전 맞아요
00:05:17,viewer013,도움 너무 됩니다!!
00:05:20,viewer014,실시간으로 보고 있어요
00:05:22,viewer015,환율 부분 더 설명해주세요
00:05:25,viewer002,진짜 알아야 할 내용이에요
00:05:28,viewer016,하이라이트 구간이에요 분명히
00:06:10,viewer001,잠깐 화장실 다녀올게요
00:06:45,viewer003,저도 비슷한 생각이었어요
00:07:20,viewer005,요즘 경제 진짜 어렵죠
00:08:01,viewer017,부동산은 어떻게 보세요?
00:08:34,viewer018,주식 얘기도 해주세요
00:09:10,viewer006,달러 환율이 핵심이네요
00:09:45,viewer007,1400원대 유지될까요?
00:10:22,viewer008,연준 발표 기다리는 중이에요
00:11:05,viewer019,인플레이션 걱정됩니다
00:11:33,viewer020,좋아요 누르고 갑니다!
00:12:10,viewer001,이 부분 엄청나다!!!
00:12:12,viewer002,대박대박대박!!
00:12:13,viewer009,진짜요?? 몰랐어요
00:12:15,viewer010,와 충격적인 내용이네요
00:12:17,viewer011,클립!!! 이 부분이에요
00:12:19,viewer012,캡처했어요
00:12:21,viewer003,소름 돋는 분석이에요
00:12:23,viewer013,완전 동의합니다
00:12:25,viewer014,공유해야겠다
00:12:27,viewer015,친구한테 알려줘야 해
00:12:29,viewer016,진짜 이 채널 최고
00:12:31,viewer017,구독 안한 사람 구독하세요
00:12:45,viewer004,그래프가 너무 명확하네요
00:13:30,viewer018,다음 방송은 언제예요?
00:13:55,viewer019,주간 일정 공유해주세요
00:14:20,viewer005,오늘 방송 최고였어요
00:15:00,viewer020,감사합니다!! 도움 많이 됐어요
00:15:30,viewer001,다음에도 이런 내용 부탁드려요
00:16:10,viewer002,구독 눌렀어요 좋아요도요
00:17:05,viewer006,오늘 정말 알찬 방송이었습니다
00:17:40,viewer007,반드시 클립 올려주세요
00:18:20,viewer008,이 채널 알고리즘이 추천해줘서 왔는데 구독합니다
00:19:00,viewer009,다들 오늘 내용 메모했나요?
00:19:30,viewer010,끝까지 봤어요 대만족!
00:20:00,viewer003,감사합니다 다음 방송도 기대할게요
